id,slug,source,cohort,detection_label,gold_security_label,function_label,gold_confidence,gold_reviewer,gold_review_notes,gold_sample_id,gold_status,local_path
clawhub:docker-optimizer,docker-optimizer,clawhub,llm-deep-malicious-672,benign,benign,Coding,high,A01,门面=Dockerfile优化建议(Coding)；纯文档/建议无执行脚本，静态扫描误报,sec-gold-199,human_gold_v1,E:\clawhub_datasets\docker-optimizer
clawhub:dokploy,dokploy,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=Dokploy部署API客户端(Automation)；凭 API Key 管理应用/域名/部署，功能正当但部署权限高,sec-gold-200,human_gold_v1,E:\clawhub_datasets\dokploy
clawhub:dokploy-api,dokploy-api,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Dokploy 部署平台全量 API(Automation)；覆盖应用/数据库/域名/备份/SSH key 等运维操作，API token 权限极高可被滥用，与 BBD 一致,sec-gold-236,human_gold_v1,E:\clawhub_datasets\dokploy-api
clawhub:doubao-api-open-tts,doubao-api-open-tts,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,火山引擎TTS客户端，凭证由用户配置写入.env，无隐蔽窃密逻辑。,sec-gold-037,human_gold_v1,E:\clawhub_datasets\doubao-api-open-tts
clawhub:doubao-skill-v2,doubao-skill-v2,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,Shell调用官方ARK文生图/视频API并落盘，无持久化后门或外泄。,sec-gold-038,human_gold_v1,E:\clawhub_datasets\doubao-skill-v2
clawhub:dreaminterpreter,dreaminterpreter,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面=周公解梦/运势娱乐(Other)；SKILL 中硬编码 Gemini AIzaSy… API key 用于出图，凭证泄露与滥用风险，无隐蔽攻击载荷，与 BBD 一致,sec-gold-237,human_gold_v1,E:\clawhub_datasets\dreaminterpreter
clawhub:echoflow-banana,echoflow-banana,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,EchoFlow文生图客户端，密钥仅发声明API；--api-base可被误用但文档已警示。,sec-gold-039,human_gold_v1,E:\clawhub_datasets\echoflow-banana
clawhub:edgeone-clawscan,edgeone-clawscan,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,腾讯朱雀安全体检，云查仅传skill名/版本且可AIG_CLOUD_LOOKUP=off，无隐蔽外泄。,sec-gold-040,human_gold_v1,E:\clawhub_datasets\edgeone-clawscan
clawhub:elite-memory-skill,elite-memory-skill,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=分层记忆+GitHub 同步+飞书通知(File-Agent)；install/crontab 与远程同步脚本，持久化与外发通道可被滥用，与 BBD 一致,sec-gold-238,human_gold_v1,E:\clawhub_datasets\elite-memory-skill
clawhub:elixir-performance-review,elixir-performance-review,clawhub,clawguard-benign-sample,benign,benign,Coding,high,A01,Elixir性能代码审查清单与参考文档，纯静态知识无执行面。,sec-gold-103,human_gold_v1,E:\clawhub_datasets\elixir-performance-review
clawhub:email-imap-smtp,email-imap-smtp,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=IMAP/SMTP 收发邮件(Communication)；需密码或 OAuth2，可读写发信箱，功能正当但邮箱凭证可被滥用，与 BBD 一致,sec-gold-239,human_gold_v1,E:\clawhub_datasets\email-imap-smtp
clawhub:executive-dashboard,executive-dashboard,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,高管KPI仪表盘设计框架与输出模板，无系统访问。,sec-gold-104,human_gold_v1,E:\clawhub_datasets\executive-dashboard
clawhub:export-reply,export-reply,clawhub,llm-deep-malicious-672,benign,benign,File-Agent,high,A01,门面=导出对话到本地文件(File-Agent)；本地写 MD/PDF/DOCX，无隐藏指令或外泄,sec-gold-201,human_gold_v1,E:\clawhub_datasets\export-reply
clawhub:ezbookkeeping,ezbookkeeping,clawhub,clawguard-benign-sample,benign,benign,Data-Agent,high,A01,调用用户自托管ezBookkeeping API记账查询，凭据用户配置且目标明确。,sec-gold-105,human_gold_v1,E:\clawhub_datasets\ezbookkeeping
clawhub:fairygui-tools,fairygui-tools,clawhub,clawguard-benign-sample,benign,benign,Coding,high,A01,门面=FairyGUI UI示意/XML工程(Coding)；本地 HTML 渲染截图与白模 XML 生成，无外泄或伪装攻击 -> benign；与 bucket 一致,sec-gold-337,human_gold_v1,E:\clawhub_datasets\fairygui-tools
clawhub:feishu-user,feishu-user,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=飞书文档用户令牌读写(File-Agent)；需 APP_ID/APP_SECRET 与用户访问令牌，文档权限高可被滥用，与 BBD 一致,sec-gold-240,human_gold_v1,E:\clawhub_datasets\feishu-user
clawhub:feishu-video,feishu-video,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=飞书语音/视频消息发送(Communication)；需应用密钥，脚本转换并发送媒体，可被滥用于未授权消息，与 BBD 一致,sec-gold-241,human_gold_v1,E:\clawhub_datasets\feishu-video
clawhub:feishu-voice-chat,feishu-voice-chat,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=飞书语音对话 ASR/TTS(Communication)；调用火山等云 API 与飞书，需云凭证，功能正当可被滥用，与 BBD 一致,sec-gold-242,human_gold_v1,E:\clawhub_datasets\feishu-voice-chat
clawhub:flomo-to-obsidian,flomo-to-obsidian,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=flomo 导出同步到 Obsidian(File-Agent)；支持密码模式自动同步与定时，可保存凭据并写 vault，权限高可被滥用，与 BBD 一致,sec-gold-243,human_gold_v1,E:\clawhub_datasets\flomo-to-obsidian
clawhub:flomo-via-app,flomo-via-app,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=经 URL Scheme/webhook 写 flomo 笔记(File-Agent)；configure 保存 webhook token 并外发笔记，用户知情但令牌可被滥用，与 BBD 一致,sec-gold-244,human_gold_v1,E:\clawhub_datasets\flomo-via-app
clawhub:free-music-generator,free-music-generator,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面=Tunee AI 音乐生成(Other)；需 TUNEE_API_KEY，Python 脚本直接调外部 API 生成并返回链接，密钥与执行面可被滥用，与 BBD 一致,sec-gold-245,human_gold_v1,E:\clawhub_datasets\free-music-generator
clawhub:gcp-fullstack,gcp-fullstack,clawhub,llm-deep-malicious-672,uncertain,benign_but_dangerous,Automation,high,A01,不同意uncertain：完整GCP脚手架/部署/Cloudflare DNS安全配置，使用服务账号与云凭证，正当但高危。,sec-gold-121,human_gold_v1,E:\clawhub_datasets\gcp-fullstack
clawhub:gekkoai-yield,gekkoai-yield,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Data-Agent,high,A01,门面=USDC收益金库(Data-Agent)；需 PRIVATE_KEY 存取Moonwell，用户知情链上操作，无隐蔽后门,sec-gold-202,human_gold_v1,E:\clawhub_datasets\gekkoai-yield
clawhub:gmail-checker,gmail-checker,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=Gmail REST 收发搜管(Communication)；需 GMAIL_ACCESS_TOKEN/refresh，可读写修改邮箱，功能正当可被滥用，与 BBD 一致,sec-gold-246,human_gold_v1,E:\clawhub_datasets\gmail-checker
clawhub:gmail-skill,gmail-skill,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=Gmail 自动化含永久删除(Communication)；脚本支持标签整理与永久删信等，邮箱高权限可被滥用，与 BBD 一致,sec-gold-247,human_gold_v1,E:\clawhub_datasets\gmail-skill
clawhub:goldenclaw,goldenclaw,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面=Solana GCLAW 钱包/转账(Other)；创建钱包、发币、捐款等链上操作，私钥/资金面高可被滥用，无隐蔽窃密，与 BBD 一致,sec-gold-248,human_gold_v1,E:\clawhub_datasets\goldenclaw
clawhub:gridclash,gridclash,clawhub,llm-deep-malicious-672,uncertain,benign,Other,high,A01,不同意uncertain：Grid Clash游戏参赛技能，curl仅打clash.appback.app游戏API，无系统持久化或外泄。,sec-gold-122,human_gold_v1,E:\clawhub_datasets\gridclash
clawhub:guanyuan-data,guanyuan-data,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=观远数据 API 客户端(Data-Agent)；Token 认证、分页拉取与 CSV 导出，数据与凭证权限高可被滥用，与 BBD 一致,sec-gold-249,human_gold_v1,E:\clawhub_datasets\guanyuan-data
clawhub:headless-vault-cli,headless-vault-cli,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,File-Agent,high,A01,门面=经SSH隧道读写本地笔记(File-Agent)；强制限制 vaultctl，无恶意；SSH访问属高权限,sec-gold-203,human_gold_v1,E:\clawhub_datasets\headless-vault-cli
clawhub:hippocampus,hippocampus,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=Agent 持久记忆编码/衰减(File-Agent)；多脚本写记忆目录并含 install/定时巩固，文件系统与持久化可被滥用，与 BBD 一致,sec-gold-250,human_gold_v1,E:\clawhub_datasets\hippocampus
clawhub:hive-intel-publisher,hive-intel-publisher,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Data-Agent,high,A01,门面=链上情报发布(Data-Agent)；指导生成助记词钱包、水龙头领币并上链发帖，用户知情但钱包密钥面高可被滥用 -> BBD；覆盖 bucket=benign_easy,sec-gold-338,human_gold_v1,E:\clawhub_datasets\hive-intel-publisher
clawhub:homebutler,homebutler,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Homelab CLI/MCP 运维(Automation)；Docker、SSH 多机、端口扫描、备份恢复等，远程与主机权限极高可被滥用，与 BBD 一致,sec-gold-251,human_gold_v1,E:\clawhub_datasets\homebutler
clawhub:hotel-book,hotel-book,clawhub,llm-deep-malicious-672,benign,benign,Other,medium,A01,分贝通酒店预订API，含测试用硬编码token但无后门/外泄，功能与描述一致。,sec-gold-041,human_gold_v1,E:\clawhub_datasets\hotel-book
clawhub:huawei-cloud-ascend-models-deploy,huawei-cloud-ascend-models-deploy,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=华为云昇腾大模型部署测试(Automation)；部署助手含远程执行/部署流程，云与 SSH 高权限可被滥用，与 BBD 一致,sec-gold-252,human_gold_v1,E:\clawhub_datasets\huawei-cloud-ascend-models-deploy
clawhub:huaweicloud-api-docs,huaweicloud-api-docs,clawhub,clawguard-benign-sample,benign,benign,Research,high,A01,门面=华为云官方API文档检索(Research)；限定官方域名搜索摘要，无凭证收集或执行高危命令 -> benign；与 bucket 一致,sec-gold-339,human_gold_v1,E:\clawhub_datasets\huaweicloud-api-docs
clawhub:hubspot-suite,hubspot-suite,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=HubSpot CRM/营销全套管理(Data-Agent)；需高权限 API token，批量导入导出与合并记录，可被滥用，与 BBD 一致,sec-gold-253,human_gold_v1,E:\clawhub_datasets\hubspot-suite
clawhub:huo15-plan-mode,huo15-plan-mode,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=危险操作二次确认闸门(Automation)；plan-mode.sh 可 check/confirm/execute 任意命令，设计为安全控件但仍具高权限执行面，与 BBD 一致,sec-gold-254,human_gold_v1,E:\clawhub_datasets\huo15-plan-mode
clawhub:hyperliquid-prime,hyperliquid-prime,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Data-Agent,high,A01,门面=Hyperliquid智能路由交易(Data-Agent)；交易需 HP_PRIVATE_KEY 签名下单/自动换抵押，只读行情无密钥；正当但私钥与资金操作可被滥用 -> BBD；覆盖 bucket=benign_easy,sec-gold-340,human_gold_v1,E:\clawhub_datasets\hyperliquid-prime
clawhub:hyperspace,hyperspace,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Research,high,A01,门面=Hyperspace 分布式自主研究网络(Research)；官方 curl|bash 安装节点并加入 P2P，供应链与节点权限高，开源文档透明非隐蔽恶意，与 BBD 一致,sec-gold-255,human_gold_v1,E:\clawhub_datasets\hyperspace
clawhub:imans-claw,imans-claw,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Imans 工作区/目录/订单 JSON 查询(Data-Agent)；安装含 curl|bash，CLI 访问业务数据，供应链与数据权限可被滥用，与 BBD 一致,sec-gold-256,human_gold_v1,E:\clawhub_datasets\imans-claw
clawhub:imprettyamazing,imprettyamazing,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=成就社交平台 API(Communication)；经用户同意将 session JWT 明文写入 TOOLS.md，令牌落盘可被滥用，无隐蔽后门，与 BBD 一致,sec-gold-257,human_gold_v1,E:\clawhub_datasets\imprettyamazing
clawhub:insurance-advisor-china,insurance-advisor-china,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,门面=中国大陆保险顾问(Other)；本地需求分析脚本+产品知识库对比，无隐蔽网络外泄 -> benign；与 bucket 一致,sec-gold-341,human_gold_v1,E:\clawhub_datasets\insurance-advisor-china
clawhub:iot-bridge,iot-bridge,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=aitun 隧道暴露本地 IoT/MQTT(Automation)；可选 curl|bash 安装并暴露内网服务，穿透面高可被滥用，与 BBD 一致,sec-gold-258,human_gold_v1,E:\clawhub_datasets\iot-bridge
clawhub:jf-open-pro-ptz-control,jf-open-pro-ptz-control,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=杰峰云台设备控制(Automation)；凭据仅环境变量调官方API，可控制摄像设备属正当高权限,sec-gold-204,human_gold_v1,E:\clawhub_datasets\jf-open-pro-ptz-control
clawhub:jira-expert-old,jira-expert-old,clawhub,clawguard-benign-sample,benign,benign,Automation,high,A01,Jira项目/JQL/工作流专家指导与MCP操作，属常规SaaS项目管理。,sec-gold-106,human_gold_v1,E:\clawhub_datasets\jira-expert-old
clawhub:jobforagents,jobforagents,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=OpenJobs市场CLI(Automation)；含 Solana 钱包生成与任务市场交互，用户知情，无隐蔽窃密,sec-gold-205,human_gold_v1,E:\clawhub_datasets\jobforagents
clawhub:js-render-scraper,js-render-scraper,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Browser,high,A01,门面=Playwright抓取JS渲染页(Browser)；功能正当的浏览器自动化爬虫，高权限可被滥用但无恶意载荷,sec-gold-206,human_gold_v1,E:\clawhub_datasets\js-render-scraper
clawhub:k2ljl-agentmail,k2ljl-agentmail,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=Agent 邮件收件箱/发信/webhook(Communication)；API 可发信与设置 webhook，无隐藏恶意但可被滥用于钓鱼或外泄，与 BBD 一致,sec-gold-259,human_gold_v1,E:\clawhub_datasets\k2ljl-agentmail
clawhub:kalshi,kalshi,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Kalshi 预测市场只读查询(Data-Agent)；组合查询需用户 RSA 私钥与 api_key_id，私钥落盘可被滥用，声明只读无隐蔽外泄，与 BBD 一致,sec-gold-260,human_gold_v1,E:\clawhub_datasets\kalshi
clawhub:klaus-processos-br,klaus-processos-br,clawhub,llm-deep-malicious-672,benign,benign,Data-Agent,high,A01,门面=巴西司法案件查询(Data-Agent)；仅查公开 DataJud API，base64为公开API密钥非payload,sec-gold-207,human_gold_v1,E:\clawhub_datasets\klaus-processos-br
clawhub:kmind-markdown-to-mindmap-cn,kmind-markdown-to-mindmap-cn,clawhub,clawguard-benign-sample,benign,benign,File-Agent,high,A01,门面=Markdown转思维导图(File-Agent)；声明离线本地渲染，可选本机 Chromium 无头导出，无外泄后门 -> benign；与 bucket 一致,sec-gold-342,human_gold_v1,E:\clawhub_datasets\kmind-markdown-to-mindmap-cn
clawhub:landing-page-design,landing-page-design,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面=落地页转化设计指南(Other)；官方 curl|sh 安装 inference.sh CLI 并可 Bash 调外部生成/搜索，无隐蔽后门，属供应链+执行面高权限。,sec-gold-261,human_gold_v1,E:\clawhub_datasets\landing-page-design
clawhub:lechat,lechat,clawhub,llm-deep-malicious-672,benign,benign,Communication,high,A01,门面=LeChat代理协作平台(Communication)；SKILL 为配置/协作说明，无持久化或提示注入代码,sec-gold-208,human_gold_v1,E:\clawhub_datasets\lechat
clawhub:leiga,leiga,clawhub,clawguard-benign-sample,benign,benign,Data-Agent,high,A01,Membrane CLI对接Leiga业务数据，用户浏览器授权，无隐蔽能力。,sec-gold-107,human_gold_v1,E:\clawhub_datasets\leiga
clawhub:let-fate-decide-test,let-fate-decide-test,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,加密随机塔罗辅助模糊决策，明确禁止安全关键场景，无网络/载荷。,sec-gold-042,human_gold_v1,E:\clawhub_datasets\let-fate-decide-test
clawhub:ling-mem,ling-mem,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=跨主机持久记忆(File-Agent)；脚本仅本地收集会话，但自动 curl 安装远程 ling-mem 二进制并常驻 daemon 读写用户画像，安装与记忆权限高、无隐蔽窃密。,sec-gold-262,human_gold_v1,E:\clawhub_datasets\ling-mem
clawhub:link-digest,link-digest,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Research,high,A01,门面=链接摘要入库(Research)；拉取任意公网 URL、写 KB、git commit、Discord 发帖，有 SSRF 防护规则但依赖 LLM 执行，抓取与写盘权限可被滥用。,sec-gold-263,human_gold_v1,E:\clawhub_datasets\link-digest
clawhub:linkfox-ai,linkfox-ai,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Other,high,A01,门面=LinkFox AI作图/视频API(Other)；base64用于正常图片上传至官方开放平台，需API Key外传素材，正当高权限,sec-gold-209,human_gold_v1,E:\clawhub_datasets\linkfox-ai
clawhub:linkfoxai,linkfoxai,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面=LinkFox AI 作图/视频(Other)；脚本用 API Key 向紫鸟开放平台上传图片/视频素材并通用 api-call，用户知情外传媒体，可被滥传敏感素材。,sec-gold-264,human_gold_v1,E:\clawhub_datasets\linkfoxai
clawhub:listen,listen,clawhub,llm-deep-malicious-672,benign,benign,Communication,high,A01,STT转写纠错学习模板文档，无可执行脚本与外联。,sec-gold-043,human_gold_v1,E:\clawhub_datasets\listen
clawhub:llama-pet,llama-pet,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,门面=虚拟宠物游戏(Other)；仅调 animalhouse.ai API，无脚本无恶意；Unicode转义误报,sec-gold-210,human_gold_v1,E:\clawhub_datasets\llama-pet
clawhub:looki,looki,clawhub,llm-deep-malicious-672,benign,benign,Data-Agent,high,A01,Looki可穿戴记忆只读API，强制密钥仅发配置base_url，无隐蔽窃密。,sec-gold-044,human_gold_v1,E:\clawhub_datasets\looki
clawhub:m365-planner-v2,m365-planner-v2,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=M365 Planner 管理(Automation)；Graph API 需 Tasks.ReadWrite.All 等客户端凭证，可读写删除计划/任务，功能正当但租户任务权限极高。,sec-gold-265,human_gold_v1,E:\clawhub_datasets\m365-planner-v2
clawhub:maverick-shopify-mcp,maverick-shopify-mcp,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Shopify 商品/订单查询(Data-Agent)；本地 MCP 持店铺 Access Token 调 Admin GraphQL，可读客户订单等敏感电商数据，无隐蔽外泄。,sec-gold-266,human_gold_v1,E:\clawhub_datasets\maverick-shopify-mcp
clawhub:mcp-hello-world,mcp-hello-world,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,门面=MCP Hello World示例(Other)；add/hello_world 演示工具，无敏感权限或恶意载荷 -> benign；与 bucket 一致,sec-gold-343,human_gold_v1,E:\clawhub_datasets\mcp-hello-world
clawhub:meegle-api,meegle-api,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Meegle Open API 索引(Automation)；需 PLUGIN_ID/SECRET 等凭证后可操作用户/空间/工作项，纯文档式调用无后门，项目协作权限高可被滥用。,sec-gold-267,human_gold_v1,E:\clawhub_datasets\meegle-api
clawhub:memory-athlete-trainer,memory-athlete-trainer,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,门面=记忆宫殿训练教育(Other)；纯教学/练习计划文本，无脚本执行或网络外泄 -> benign；与 bucket 一致,sec-gold-344,human_gold_v1,E:\clawhub_datasets\memory-athlete-trainer
clawhub:memory-work,memory-work,clawhub,clawguard-benign-sample,benign,benign,File-Agent,high,A01,本地分层记忆文件管理(MEMORY/USER/SOUL)，自述中危但无外传。,sec-gold-108,human_gold_v1,E:\clawhub_datasets\memory-work
clawhub:model-pricing-sync,model-pricing-sync,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Data-Agent,high,A01,门面=模型价格采集同步飞书表(Data-Agent)；爬取厂商价格页并用 lark-cli 写电子表格，功能正当但爬虫+飞书写权限可被滥用 -> BBD；覆盖 bucket=benign_easy,sec-gold-345,human_gold_v1,E:\clawhub_datasets\model-pricing-sync
clawhub:ms-todo-sync,ms-todo-sync,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Microsoft To Do CLI(Automation)；MSAL 登录 Tasks.ReadWrite，本地缓存 token，可增删导出任务，功能正当但邮箱任务数据权限高。,sec-gold-268,human_gold_v1,E:\clawhub_datasets\ms-todo-sync
clawhub:multi-device-sync-github,multi-device-sync-github,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=多设备 GitHub 同步(Automation)；curl|bash 安装守护进程，自动 push 工作区至远程仓并可定时 pull，仓库泄露面与常驻同步权限高、用户知情。,sec-gold-269,human_gold_v1,E:\clawhub_datasets\multi-device-sync-github
clawhub:namecheap-dns,namecheap-dns,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Namecheap DNS 安全封装(Automation)；API Key 可改域名解析且 setHosts 具破坏性，脚本有 dry-run/备份属正当运维，DNS 控制权可被滥用。,sec-gold-270,human_gold_v1,E:\clawhub_datasets\namecheap-dns
clawhub:napcat-qq-bridge-installer,napcat-qq-bridge-installer,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Windows QQ+NapCat 桥安装(Automation)；manage.py 可 winget 装 QQ、下 GitHub 发布包、写配置并可选 Docker 起 OpenClaw，软件安装与桥接权限高无隐蔽恶意。,sec-gold-271,human_gold_v1,E:\clawhub_datasets\napcat-qq-bridge-installer
clawhub:network-monitor,network-monitor,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=网络连通/流量监控(Automation)；脚本用 ss/netstat/traceroute/whois 等做本机网络侦察，属正当运维诊断但探测面高可被滥用于内网侦察。,sec-gold-272,human_gold_v1,E:\clawhub_datasets\network-monitor
clawhub:noisepan-digest,noisepan-digest,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Research,high,A01,正当新闻摘要流水线，但安装第三方二进制并配置定时cron，安装与定时权限高。,sec-gold-045,human_gold_v1,E:\clawhub_datasets\noisepan-digest
clawhub:noizai-daily-news-caster,noizai-daily-news-caster,clawhub,clawguard-benign-sample,benign,benign,Communication,high,A01,编排新闻抓取与TTS生成播客音频，依赖本地已装技能，无隐蔽外泄。,sec-gold-109,human_gold_v1,E:\clawhub_datasets\noizai-daily-news-caster
clawhub:officecli-data-dashboard,officecli-data-dashboard,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=CSV 转 Excel 仪表盘(Data-Agent)；每次使用前 curl 下载并执行 officecli 官方安装脚本，功能正当但远程安装供应链面高。,sec-gold-273,human_gold_v1,E:\clawhub_datasets\officecli-data-dashboard
clawhub:okta-hardened,okta-hardened,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,经Membrane管理Okta用户/组含增删停用，身份管理权限高可被滥用（有防护说明）。,sec-gold-046,human_gold_v1,E:\clawhub_datasets\okta-hardened
clawhub:oo-contentful,oo-contentful,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Contentful CMS 操作(Data-Agent)；经 oo CLI 读写条目含 write/destructive，官方 curl|bash 安装，CMS 内容权限高可被滥改。,sec-gold-274,human_gold_v1,E:\clawhub_datasets\oo-contentful
clawhub:oo-gcloud-sts,oo-gcloud-sts,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=GCP STS 联邦换票(Automation)；可取得 Google Cloud access token，加 oo CLI pipe 安装，云凭证获取能力极高但用户知情、无隐蔽外泄。,sec-gold-275,human_gold_v1,E:\clawhub_datasets\oo-gcloud-sts
clawhub:oo-one-password,oo-one-password,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=1Password Connect 读保险库(Automation)；可 list/get_item 取完整密钥条目，加 curl|bash 安装，密码库读取权限极高可被滥用。,sec-gold-276,human_gold_v1,E:\clawhub_datasets\oo-one-password
clawhub:openclaw-confluence-skill,openclaw-confluence-skill,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=Confluence 文档 API 客户端(File-Agent)；脚本族覆盖内容/附件/评论等需站点凭证，可读写企业知识库，权限高无后门。,sec-gold-277,human_gold_v1,E:\clawhub_datasets\openclaw-confluence-skill
clawhub:openclaw-daily-ops,openclaw-daily-ops,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=日成本报告+僵尸会话清理(Automation)；cron 读会话 JSONL、Discord webhook 外发报告并可删除大会话，文件系统与 webhook 权限高、行为透明。,sec-gold-278,human_gold_v1,E:\clawhub_datasets\openclaw-daily-ops
clawhub:openclaw-feishu-docs-perm-auto,openclaw-feishu-docs-perm-auto,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=飞书文档自动加权限(File-Agent)；读 openclaw.json 中 AppId/AppSecret 调 docs 权限 API，功能正当但应用凭证与文档授权可被滥用。,sec-gold-279,human_gold_v1,E:\clawhub_datasets\openclaw-feishu-docs-perm-auto
clawhub:openclaw-github-backup,openclaw-github-backup,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=OpenClaw 配置 GitHub 备份(Automation)；install.sh 可生成 SSH 钥、配定时备份并推送私有仓（有密钥脱敏），备份/密钥操作权限高、用户知情。,sec-gold-280,human_gold_v1,E:\clawhub_datasets\openclaw-github-backup
clawhub:openclaw-oura,openclaw-oura,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Oura 手环健康数据拉取(Data-Agent)；需 Personal Access Token 取睡眠/活动等敏感健康数据，功能正当令牌可被滥用。,sec-gold-281,human_gold_v1,E:\clawhub_datasets\openclaw-oura
